FMAXX,1871,Fidelity Massachusetts Municipal Money Market Fund - Institutional Class ($1M)
FMOXX,275,Fidelity Tax-Exempt Money Market Fund ($1)
FMPXX,59,Fidelity Investments Money Market - Money Market Portfolio - Class I ($1M)
FMSXX,426,Fidelity Massachusetts Municipal Money Market Fund - Premium Class ($25K)
FMYXX,931,Fidelity Investments Money Market - Money Market Portfolio - Select Class ($1M)
FNKXX,1869,Fidelity New York Municipal Money Market Fund - Institutional Class ($1M)
FNSXX,2013,Fidelity Investments Money Market - Money Market Portfolio - Institutional Class ($10M)
FRBXX,2644,Fidelity Investments Money Market Treasury Portfolio - Institutional Class ($10M)
FRGXX,2642,Fidelity Investments Money Market Government Portfolio - Institutional Class ($10M)
FRSXX,2643,Fidelity Investments Money Market Treasury Only Portfolio - Institutional Class ($10M)
