FETXX
FEXXX
FFTXX
FGEXX
FIGXX
FISXX
FMAXX
FMJXX
FMOXX
FMPXX
FMSXX
FMYXX
FNKXX
FNSXX
FRBXX
FRGXX
FRSXX
FSBXX
FSIXX
FSJXX
